feature,importance
stress_roll3,0.09586807554032527
prior_stress_roll3,0.08215379234494967
stress_lag1,0.06886322906250185
prior_stress,0.04804954534975968
stress_lag2,0.04728369071529307
sleep_hour_mean,0.045106376035399194
prior_stress_2,0.040266193193559216
stress_lag3,0.03768362505130267
sleep_hour_max,0.03200660532073949
sleep_rate_mean,0.019251612991212048
sleep_rate_max,0.017682552559130135
exercise_walk_mean,0.01577569241010049
sleep_social_mean,0.014602571340659563
sleep_social_max,0.014151650041011274
exercise_exercise_mean,0.012089005665534402
exercise_walk_max,0.012061431504138501
exercise_exercise_max,0.011850272449979696
activity_working_mean,0.011559183690366298
events_negative_mean,0.009811505703373522
activity_working_max,0.009646344595201025
activity_other_relaxing_mean,0.009461239476712104
activity_other_relaxing_max,0.00939068633393683
behavior_enthusiastic_mean,0.009265506677462879
behavior_disorganized_mean,0.009224810773553253
activity_other_working_mean,0.008995149257692174
behavior_enthusiastic_max,0.00875380781342059
events_negative_max,0.008558634325039506
behavior_disorganized_max,0.008525364570523351
behavior_anxious_mean,0.008497028372498383
activity_other_working_max,0.008204463825005427
behavior_reserved_mean,0.007957804561903628
behavior_sympathetic_mean,0.0077245424391602
mood_happy_mean,0.007528601777226342
behavior_conventional_mean,0.007280909623993159
activity_relaxing_mean,0.007135304351333982
behavior_dependable_mean,0.007047888331819639
behavior_sympathetic_max,0.0068789640450566455
behavior_experiences_mean,0.006744663077533992
activity_relaxing_max,0.0066979955820515346
behavior_critical_mean,0.0063656232223127255
exercise_schedule_mean,0.006365349325200252
activity_working_count,0.006221387244327892
behavior_critical_max,0.005990603069722952
exercise_have_mean,0.00597976640238911
activity_other_relaxing_count,0.00582584173810579
activity_relaxing_count,0.005806371249994036
behavior_reserved_max,0.0057999504996644425
behavior_anxious_max,0.005719661849670986
exercise_schedule_max,0.005656620294407735
events_positive_mean,0.005616353851645776
behavior_dependable_max,0.005572242868605513
behavior_conventional_max,0.005560877435171552
study_spaces_productivity_mean,0.005455539497781546
behavior_experiences_max,0.0053282343716859835
sleep_rate_count,0.005285061770104856
sleep_hour_count,0.005276777497778241
activity_other_working_count,0.005235118267587363
events_positive_max,0.0052122237787751895
sleep_social_count,0.0050500013318320455
mood_happy_max,0.0050157740540103125
behavior_calm_mean,0.004877922362546865
study_spaces_noise_mean,0.004773362968070723
exercise_have_max,0.004423064905942863
behavior_sympathetic_count,0.004331146553600712
behavior_calm_max,0.00427799278840613
behavior_conventional_count,0.0042209017531637145
study_spaces_noise_count,0.004036403428851297
behavior_disorganized_count,0.004036064574111219
exercise_schedule_count,0.004033096725525838
behavior_calm_count,0.003912007099879825
study_spaces_productivity_max,0.0038300697355717487
behavior_dependable_count,0.0037688848709314174
behavior_anxious_count,0.0035925451696937603
behavior_reserved_count,0.003529016623184187
study_spaces_noise_max,0.0035205498382512444
behavior_critical_count,0.003444394412677315
behavior_experiences_count,0.003434892589117861
behavior_enthusiastic_count,0.0034176971075849066
mood_sad_count,0.002233691417160096
mood_happy_count,0.0018331925348588297
mood_sad_mean,0.0013587877058407686
mood_sad_max,0.001237700684944693
exercise_exercise_count,0.0010333108868329837
exercise_walk_count,0.0009834208708034593
exercise_have_count,0.0009435670461623938
study_spaces_productivity_count,0.0006700727402321264
events_positive_count,0.00014256693750279998
events_negative_count,0.0001279752673152535
